IMPORTACION DE ELECTRICIDAD POR ORIGEN (MWh);;;;;;
;;;;;;
año;mes;Argentina;Brasil;TOTAL;;
1999;1;72.108;5;72.113;;
1999;2;24.653;4;24.657;;
1999;3;115.776;7;115.783;;
1999;4;37.329;5;37.334;;
1999;5;69.294;5;69.299;;
1999;6;21.286;5;21.291;;
1999;7;0;4;4;;
1999;8;16.642;5;16.647;;
1999;9;7.298;4;7.302;;
1999;10;2.720;5;2.725;;
1999;11;77.694;6;77.700;;
1999;12;262.840;6;262.846;;
2000;1;287.640;5;287.645;;
2000;2;277.196;5;277.201;;
2000;3;296.452;6;296.458;;
2000;4;148.882;5;148.887;;
2000;5;11.600;6;11.606;;
2000;6;15.660;5;15.665;;
2000;7;8.270;5;8.275;;
2000;8;97.639;5;97.644;;
2000;9;1.895;5;1.900;;
2000;10;0;5;5;;
2000;11;3.150;5;3.155;;
2000;12;179.631;5;179.636;;
2001;1;33.475;7;33.482;;
2001;2;0;603;603;;
2001;3;0;1.620;1.620;;
2001;4;0;487;487;;
2001;5;0;43;43;;
2001;6;0;71;71;;
2001;7;0;5;5;;
2001;8;0;5;5;;
2001;9;0;5;5;;
2001;10;0;3.021;3.021;;
2001;11;0;5;5;;
2001;12;83.340;5;83.345;;
2002;1;224.790;7;224.797;;
2002;2;245.280;8;245.288;;
2002;3;86.778;8;86.786;;
2002;4;330;7;337;;
2002;5;0;8;8;;
2002;6;0;6;6;;
2002;7;0;5;5;;
2002;8;0;5;5;;
2002;9;0;6;6;;
2002;10;1.780;6;1.786;;
2002;11;0;6;6;;
2002;12;0;6;6;;
2003;1;0;49;49;;
2003;2;7.228;19;7.247;;
2003;3;0;25;25;;
2003;4;0;38;38;;
2003;5;0;12;12;;
2003;6;0;141;141;;
2003;7;12.920;0;12.920;;
2003;8;85.084;7;85.091;;
2003;9;133.767;6;133.773;;
2003;10;136.662;6;136.668;;
2003;11;58.252;6;58.258;;
2003;12;0;6;6;;
2004;1;18.546;6;18.552;;
2004;2;181.080;6;181.086;;
2004;3;144.241;11.566;155.806;;
2004;4;81.894;119.138;201.032;;
2004;5;217.502;89.513;307.015;;
2004;6;140.659;51.553;192.212;;
2004;7;282.204;43.130;325.334;;
2004;8;249.654;44.742;294.397;;
2004;9;220.318;51.725;272.043;;
2004;10;157.140;1.672;158.812;;
2004;11;50.185;92;50.277;;
2004;12;191.351;0;191.351;;
2005;1;116.756;166.734;283.491;;
2005;2;95.085;237.158;332.243;;
2005;3;106.166;141.245;247.411;;
2005;4;87.259;52.891;140.150;;
2005;5;48.864;25.544;74.407;;
2005;6;4.512;0;4.512;;
2005;7;57.143;0;57.143;;
2005;8;110.619;42.171;152.790;;
2005;9;32.605;3.472;36.076;;
2005;10;0;0;0;;
2005;11;60.917;28.675;89.592;;
2005;12;114.937;52.456;167.394;;
2006;1;219.121;51.135;270.256;;
2006;2;124.855;44.161;169.016;;
2006;3;130.620;338.540;469.161;;
2006;4;164.232;271.309;435.541;;
2006;5;180.029;21.308;201.337;;
2006;6;139.623;24.005;163.628;;
2006;7;197.428;15.115;212.542;;
2006;8;141.413;15.326;156.739;;
2006;9;199.187;11.128;210.315;;
2006;10;219.983;9.669;229.652;;
2006;11;121.927;0;121.927;;
2006;12;185.334;6.943;192.277;;
2007;1;319.861;31.412;351.273;;
2007;2;225.108;29.576;254.684;;
2007;3;13.500;0;13.500;;
2007;4;0;14;14;;
2007;5;0;9.010;9.010;;
2007;6;0;50.345;50.345;;
2007;7;0;45.842;45.842;;
2007;8;0;48.753;48.753;;
2007;9;8.649;7;8.655;;
2007;10;0;0;0;;
2007;11;2.762;0;2.762;;
2007;12;3.750;1;3.751;;
2008;1;115.153;0;115.153;;
2008;2;38.450;1;38.451;;
2008;3;225.025;0;225.025;;
2008;4;76.222;16.915;93.137;;
2008;5;92.688;47.891;140.579;;
2008;6;13.403;42.900;56.303;;
2008;7;3.118;3.463;6.581;;
2008;8;1.493;9.232;10.725;;
2008;9;14.895;55;14.950;;
2008;10;83.356;2.519;85.875;;
2008;11;22.755;55;22.810;;
2008;12;146.091;5.763;151.854;;
2009;1;81.965;6.815;88.780;;
2009;2;41.127;121.209;162.337;;
2009;3;13.959;287.636;301.594;;
2009;4;109.873;10.895;120.768;;
2009;5;262.526;0;262.526;;
2009;6;228.162;6.694;234.856;;
2009;7;88.633;15.384;104.017;;
2009;8;53.466;43.595;97.061;;
2009;9;55.281;10.233;65.514;;
2009;10;27.741;1.503;29.244;;
2009;11;180;805;985;;
2009;12;364;0;364;;
2010;1;384;0;384;;
2010;2;229;0;229;;
2010;3;32.050;0;32.050;;
2010;4;39.427;11.443;50.870;;
2010;5;0;10.036;10.036;;
2010;6;0;6.503;6.503;;
2010;7;0;14.259;14.259;;
2010;8;0;0;0;;
2010;9;0;0;0;;
2010;10;64.500;0;64.500;;
2010;11;126.240;0;126.240;;
2010;12;81.744;0;81.744;;
2011;1;82.085;0;82.085;;
2011;2;26.708;7.572;34.280;;
2011;3;9.438;11.872;21.310;;
2011;4;0;18.541;18.541;;
2011;5;775;38.060;38.835;;
2011;6;0;38.881;38.881;;
2011;7;0;5.027;5.027;;
2011;8;0;0;0;;
2011;9;0;10.058;10.058;;
2011;10;0;17.390;17.390;;
2011;11;23.893;39.851;63.744;;
2011;12;121.875;18.337;140.212;;
2012;1;45.619;26.361;71.980;;
2012;2;6.882;36.202;43.084;;
2012;3;0;107.142;107.142;;
2012;4;7.303;22.268;29.571;;
2012;5;124.529;53.136;177.665;;
2012;6;94.545;51.445;145.990;;
2012;7;0;51.875;51.875;;
2012;8;0;52.842;52.842;;
2012;9;0;51.096;51.096;;
2012;10;0;10.743;10.743;;
2012;11;0;0;0;;
2012;12;0;0;0;;
2013;1;0;0;0;;
2013;2;0;0;0;;
2013;3;0;0;0;;
2013;4;0;0;0;;
2013;5;0;0;0;;
2013;6;0;0;0;;
2013;7;0;0;0;;
2013;8;0;0;0;;
2013;9;0;0;0;;
2013;10;0;0;0;;
2013;11;0;0;0;;
2013;12;0;0;0;;
2014;1;0;0;0;;
2014;2;0;0;0;;
2014;3;0;0;0;;
2014;4;0;0;0;;
2014;5;0;0;0;;
2014;6;0;0;0;;
2014;7;0;0;0;;
2014;8;0;0;0;;
2014;9;0;0;0;;
2014;10;0;0;0;;
2014;11;0;0;0;;
2014;12;0;0;0;;
2015;1;0;0;0;;
2015;2;0;0;0;;
2015;3;0;0;0;;
2015;4;0;0;0;;
2015;5;0;0;0;;
2015;6;0;0;0;;
2015;7;0;0;0;;
2015;8;0;0;0;;
2015;9;0;0;0;;
2015;10;0;0;0;;
2015;11;0;0;0;;
2015;12;1.935;0;1.935;;
2016;1;1.641;0;1.641;;
2016;2;707;0;707;;
2016;3;0;0;0;;
2016;4;1.119;18.526;19.645;;
2016;5;0;0;0;;
2016;6;0;464;464;;
2016;7;0;0;0;;
2016;8;0;271;271;;
2016;9;0;501;501;;
2016;10;0;131;131;;
2016;11;0;0;0;;
2016;12;0;1.181;1.181;;
2017;1;0;0;0;;
2017;2;0;1.696;1.696;;
2017;3;0;531;531;;
2017;4;0;323;323;;
2017;5;0;0;0;;
2017;6;0;0;0;;
2017;7;0;79;79;;
2017;8;0;0;0;;
2017;9;0;0;0;;
2017;10;0;0;0;;
2017;11;0;0;0;;
2017;12;0;288;288;;
2018;1;0;0;0;;
2018;2;0;0;0;;
2018;3;2.802;257;3.059;;
2018;4;10.267;321;10.588;;
2018;5;0;0;0;;
2018;6;0;0;0;;
2018;7;0;0;0;;
2018;8;92;0;92;;
2018;9;0;0;0;;
2018;10;0;0;0;;
2018;11;0;0;0;;
2018;12;0;0;0;;
2019;1;0;0;0;;
2019;2;0;0;0;;
2019;3;0;0;0;;
2019;4;0;0;0;;
2019;5;0;0;0;;
2019;6;0;236;236;;
2019;7;0;0;0;;
2019;8;0;0;0;;
2019;9;0;0;0;;
2019;10;0;0;0;;
2019;11;0;0;0;;
2019;12;0;0;0;;
2020;1;12.458;0;12.458;;
2020;2;29.925;0;29.925;;
2020;3;99.525;0;99.525;;
2020;4;166.556;16.529;183.085;;
2020;5;99.202;27.010;126.212;;
2020;6;2.004;0;2.004;;
2020;7;0;0;0;;
2020;8;0;268;268;;
2020;9;0;0;0;;
