GENERACION DE ELECTRICIDAD POR PLANTA (MWh);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
año;mes;"Batlle
sala B";"Batlle
unidad 5";"Batlle
unidad 6";CT Motores Batlle;"CT Maldonado
grupo 1";"Punta del Tigre
grupo 1";"Punta del Tigre
grupo 2";"Punta del Tigre
grupo 3";"Punta del Tigre
grupo 4";"Punta del Tigre
grupo 5";"Punta del Tigre
grupo 6";"Punta del Tigre
Turbinas APR A";"Punta del Tigre
Turbinas APR C";"Punta del Tigre
grupos 7 y 8";"Punta del Tigre
grupo 1 B ""ciclo combinado""";"Punta del Tigre
grupo 2 B ""ciclo combinado""";"Punta del Tigre
grupo 3 B ""ciclo combinado""";"CTR La Tablada
grupo 1";"CTR La Tablada
grupo 2";CTR La Tablada Turbinas APR B;C.T. Motores Aggreko - Mot. MVA;C.T. Motores Aggreko - Mot. MVB;"diesel
interconectadas";"diesel
autónomas";Solar Fotovoltaica Autónoma;Terra;Baygorria;Palmar;"Salto Grande
(corresp. a Uruguay)";" ""Parques Eólicos de UTE""";Solar fotovoltáica UTE ;Fotovoltáicas   Privadas                   Solar;Agentes Productores;"TOTAL
generación
Térmica Fosil";"TOTAL
generación
Térmica Biomasa";"TOTAL
generación
térmica";"TOTAL
generación
hidráulica";"TOTAL
generación
eólica";"TOTAL
generación
solar";TOTAL;;;
2000;1;37.570;49.724;66.831;;0;;;;;;;;;;;;;0;30.050;;;;0;353;;34.714;23.991;45.700;78.202;;;;;;;184.528;182.607;;;367.134;;;
2000;2;18.620;48.955;73.975;;0;;;;;;;;;;;;;0;700;;;;0;291;;45.145;33.851;55.603;79.041;;;;;;;142.541;213.640;;;356.181;;;
2000;3;31.050;28.235;59.290;;0;;;;;;;;;;;;;190;680;;;;0;457;;17.245;13.806;21.359;176.388;;;;;;;119.902;228.798;;;348.700;;;
2000;4;0;0;0;;0;;;;;;;;;;;;;0;20;;;;0;549;;26.545;28.933;63.725;346.664;;;;;;;569;465.867;;;466.436;;;
2000;5;0;0;0;;0;;;;;;;;;;;;;0;360;;;;0;526;;57.116;46.505;146.920;477.957;;;;;;;886;728.498;;;729.383;;;
2000;6;0;0;0;;0;;;;;;;;;;;;;170;750;;;;0;466;;103.273;67.634;203.405;463.227;;;;;;;1.386;837.539;;;838.925;;;
2000;7;3.800;7.431;7.327;;0;;;;;;;;;;;;;2.680;2.520;;;;0;460;;103.428;59.491;237.650;572.915;;;;;;;24.218;973.484;;;997.701;;;
2000;8;0;0;0;;72;;;;;;;;;;;;;710;530;;;;0;432;;107.204;76.219;217.843;221.641;;;;;;;1.744;622.907;;;624.651;;;
2000;9;850;0;1.915;;53;;;;;;;;;;;;;1.800;1.180;;;;0;428;;70.998;50.709;198.660;411.891;;;;;;;6.226;732.258;;;738.483;;;
2000;10;2.390;3.551;0;;15;;;;;;;;;;;;;1.010;1.060;;;;0;415;;94.897;56.509;190.335;539.214;;;;;;;8.441;880.955;;;889.396;;;
2000;11;0;0;0;;34;;;;;;;;;;;;;270;240;;;;0;394;;84.868;56.129;129.743;440.776;;;;;;;938;711.516;;;712.454;;;
2000;12;0;0;718;;116;;;;;;;;;;;;;1.220;1.170;;;;0;453;;71.521;43.923;114.426;242.732;;;;;;;3.677;472.602;;;476.279;;;
2001;1;0;0;0;;9;;;;;;;;;;;;;60;70;;;;0;448;;33.800;22.121;72.678;519.390;;;;;;;588;647.989;;;648.577;;;
2001;2;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;460;;29.800;20.094;78.520;492.324;;;;;;;460;620.738;;;621.198;;;
2001;3;0;0;0;;23;;;;;;;;;;;;;200;220;;;;0;557;;58.789;40.810;137.660;428.909;;;;;;;1.000;666.168;;;667.168;;;
2001;4;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;612;;54.540;34.385;84.542;492.710;;;;;;;612;666.177;;;666.789;;;
2001;5;0;0;0;;19;;;;;;;;;;;;;870;1.020;;;;0;596;;106.029;49.205;222.909;595.225;;;;;;;2.505;973.368;;;975.873;;;
2001;6;0;0;0;;9;;;;;;;;;;;;;490;910;;;;0;521;;99.594;58.393;232.102;584.870;;;;;;;1.930;974.959;;;976.889;;;
2001;7;0;0;0;;0;;;;;;;;;;;;;70;120;;;;0;508;;108.368;69.636;195.224;477.116;;;;;;;698;850.344;;;851.042;;;
2001;8;0;0;0;;0;;;;;;;;;;;;;120;120;;;;0;513;;104.982;70.423;212.412;325.900;;;;;;;753;713.717;;;714.470;;;
2001;9;0;0;0;;6;;;;;;;;;;;;;0;0;;;;0;458;;90.640;59.021;235.244;443.188;;;;;;;464;828.093;;;828.557;;;
2001;10;0;62;0;;62;;;;;;;;;;;;;1.120;1.380;;;;0;466;;89.710;63.815;216.211;610.918;;;;;;;3.090;980.654;;;983.744;;;
2001;11;0;1.576;0;;0;;;;;;;;;;;;;70;50;;;;0;429;;95.290;57.441;183.419;372.845;;;;;;;2.125;708.995;;;711.120;;;
2001;12;0;0;0;;16;;;;;;;;;;;;;70;90;;;;0;470;;106.968;71.965;192.269;191.654;;;;;;;646;562.856;;;563.502;;;
2002;1;0;0;0;;8;;;;;;;;;;;;;0;0;;;;0;479;;101.312;66.361;164.510;98.566;;;;;;;487;430.749;;;431.236;;;
2002;2;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;405;;86.560;62.459;123.308;96.985;;;;;;;405;369.312;;;369.717;;;
2002;3;0;7.518;7.274;;5;;;;;;;;;;;;;2.500;130;;;;0;533;;47.348;46.265;176.895;262.830;;;;;;;17.960;533.338;;;551.298;;;
2002;4;110;148;686;;0;;;;;;;;;;;;;553;0;;;;0;553;;69.936;42.553;225.024;506.151;;;;;;;2.487;843.664;;;846.151;;;
2002;5;0;0;0;;0;;;;;;;;;;;;;100;0;;;;0;615;;96.419;35.429;230.113;590.016;;;;;;;715;951.977;;;952.691;;;
2002;6;0;0;0;;0;;;;;;;;;;;;;310;0;;;;0;548;;100.093;65.497;234.174;624.243;;;;;;;858;1.024.007;;;1.024.864;;;
2002;7;0;0;0;;0;;;;;;;;;;;;;310;0;;;;0;518;;107.423;73.240;226.464;551.909;;;;;;;828;959.036;;;959.864;;;
2002;8;0;0;0;;0;;;;;;;;;;;;;140;0;;;;0;485;;102.663;66.079;241.397;632.651;;;;;;;625;1.042.790;;;1.043.415;;;
2002;9;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;437;;100.109;64.795;217.978;567.785;;;;;;;437;950.667;;;951.103;;;
2002;10;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;466;;98.082;61.029;183.923;463.951;;;;;;;466;806.985;;;807.450;;;
2002;11;0;0;0;;0;;;;;;;;;;;;;120;0;;;;0;462;;80.870;55.870;178.133;493.855;;;;;;;582;808.728;;;809.310;;;
2002;12;0;0;0;;0;;;;;;;;;;;;;120;0;;;;0;456;;98.430;55.391;235.850;424.446;;;;;;;576;814.117;;;814.693;;;
2003;1;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;450;;84.430;52.762;152.078;491.128;;;;;;;450;780.398;;;780.848;;;
2003;2;10;82;96;;3;;;;;;;;;;;;;0;0;;;;0;405;;64.014;42.972;159.513;345.659;;;;;;;596;612.158;;;612.754;;;
2003;3;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;507;;106.046;72.415;219.222;537.867;;;;;;;507;935.550;;;936.057;;;
2003;4;0;0;0;;0;;;;;;;;;;;;;0;40;;;;0;520;;90.405;63.949;167.022;380.807;;;;;;;560;702.183;;;702.743;;;
2003;5;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;540;;90.495;46.804;221.168;560.756;;;;;;;540;919.223;;;919.763;;;
2003;6;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;490;;97.990;60.553;222.601;456.048;;;;;;;490;837.192;;;837.682;;;
2003;7;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;496;;106.155;75.828;234.552;320.152;;;;;;;496;736.687;;;737.183;;;
2003;8;0;0;0;;0;;;;;;;;;;;;;290;0;;;;0;488;;84.710;67.321;229.349;253.642;;;;;;;778;635.022;;;635.800;;;
2003;9;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;480;;96.818;63.800;222.395;156.479;;;;;;;480;539.492;;;539.972;;;
2003;10;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;479;;73.304;43.980;135.310;229.242;;;;;;;479;481.836;;;482.315;;;
2003;11;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;450;;48.027;36.060;130.948;452.558;;;;;;;450;667.593;;;668.043;;;
2003;12;0;0;384;;10;;;;;;;;;;;;;0;0;;;;0;384;;65.171;38.613;104.312;476.671;;;;;;;778;684.767;;;685.545;;;
2004;1;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;336;;86.605;53.696;130.416;392.882;;;;;;;336;663.599;;;663.935;;;
2004;2;0;0;0;;0;;;;;;;;;;;;;0;0;;;;0;305;;92.733;70.761;143.104;124.120;;;;;;;305;430.718;;;431.023;;;
2004;3;0;19.305;39.845;;0;;;;;;;;;;;;;4.480;30.660;;;;0;524;;89.144;71.575;128.769;132.458;;;;;;;94.814;421.946;;;516.760;;;
2004;4;24.030;44.839;87.101;;3.394;;;;;;;;;;;;;52.360;58.640;;;;0;531;;21.202;22.146;35.666;60.555;;;;;;;270.895;139.569;;;410.464;;;
2004;5;36.100;56.356;85.058;;21;;;;;;;;;;;;;17.500;18.570;;;;0;424;;62;3.656;9.184;179.236;;;;;;;214.029;192.138;;;406.167;;;
2004;6;36.370;50.731;90.679;;0;;;;;;;;;;;;;51.750;50.770;;;;0;409;;16.259;13.870;61.086;151.980;;;;;;;280.709;243.195;;;523.904;;;
2004;7;6.370;30.473;23.712;;0;;;;;;;;;;;;;0;0;;;;0;428;;15.483;14.440;77.153;285.301;;;;;;;60.983;392.377;;;453.360;;;
2004;8;0;15.993;26.004;;0;;;;;;;;;;;;;0;0;;;;0;409;;65.028;44.047;105.592;166.491;;;;;;;42.406;381.158;;;423.564;;;
2004;9;0;24.624;37.507;;0;;;;;;;;;;;;;0;0;;;;0;407;;52.239;37.049;91.053;169.286;;;;;;;62.538;349.627;;;412.165;;;
